INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-FF_EASY_100_066.bpp,100,22,"{'FFIT': 1, 'BFIT': 5, 'WFIT': 2, 'AWFIT': 92}",0.9097
GA-WF_EASY_100_063.bpp,100,24,"{'FFIT': 2, 'BFIT': 4, 'WFIT': 2, 'AWFIT': 92}",0.8507
GA-WF_EASY_100_063.bpp,100,23,"{'FFIT': 1, 'BFIT': 3, 'WFIT': 90, 'AWFIT': 6}",0.9109
GA-WF_EASY_100_063.bpp,100,22,"{'FFIT': 2, 'BFIT': 8, 'WFIT': 88, 'AWFIT': 2}",0.9923
GA-FF_EASY_100_089.bpp,100,24,"{'FFIT': 4, 'BFIT': 93, 'WFIT': 2, 'AWFIT': 1}",0.8502
GA-FF_EASY_100_089.bpp,100,24,"{'FFIT': 0, 'BFIT': 2, 'WFIT': 7, 'AWFIT': 91}",0.8494
GA-FF_EASY_100_089.bpp,100,24,"{'FFIT': 38, 'BFIT': 57, 'WFIT': 3, 'AWFIT': 2}",0.85
GA-WF_EASY_100_059.bpp,100,29,"{'FFIT': 2, 'BFIT': 2, 'WFIT': 95, 'AWFIT': 1}",0.9899
GA-WF_EASY_100_059.bpp,100,32,"{'FFIT': 6, 'BFIT': 2, 'WFIT': 91, 'AWFIT': 1}",0.8194
GA-WF_EASY_100_059.bpp,100,30,"{'FFIT': 1, 'BFIT': 29, 'WFIT': 65, 'AWFIT': 5}",0.9269
GA-WF_EASY_100_060.bpp,100,31,"{'FFIT': 13, 'BFIT': 78, 'WFIT': 1, 'AWFIT': 8}",0.8802
GA-WF_EASY_100_060.bpp,100,31,"{'FFIT': 2, 'BFIT': 96, 'WFIT': 0, 'AWFIT': 2}",0.8803
GA-WF_EASY_100_060.bpp,100,30,"{'FFIT': 92, 'BFIT': 3, 'WFIT': 2, 'AWFIT': 3}",0.9294
GA-AWF_EASY_100_013.bpp,100,25,"{'FFIT': 3, 'BFIT': 93, 'WFIT': 1, 'AWFIT': 3}",0.913
GA-AWF_EASY_100_013.bpp,100,25,"{'FFIT': 97, 'BFIT': 1, 'WFIT': 1, 'AWFIT': 1}",0.913
GA-AWF_EASY_100_013.bpp,100,25,"{'FFIT': 2, 'BFIT': 98, 'WFIT': 0, 'AWFIT': 0}",0.913
GA-BF_EASY_100_091.bpp,100,21,"{'FFIT': 0, 'BFIT': 14, 'WFIT': 0, 'AWFIT': 86}",0.8195
GA-BF_EASY_100_091.bpp,100,19,"{'FFIT': 0, 'BFIT': 93, 'WFIT': 0, 'AWFIT': 7}",0.9744
GA-BF_EASY_100_091.bpp,100,19,"{'FFIT': 1, 'BFIT': 93, 'WFIT': 0, 'AWFIT': 6}",0.9744
GA-AWF_EASY_100_001.bpp,100,22,"{'FFIT': 0, 'BFIT': 96, 'WFIT': 2, 'AWFIT': 2}",0.9028
GA-AWF_EASY_100_001.bpp,100,23,"{'FFIT': 5, 'BFIT': 4, 'WFIT': 89, 'AWFIT': 2}",0.8335
GA-AWF_EASY_100_001.bpp,100,22,"{'FFIT': 2, 'BFIT': 92, 'WFIT': 3, 'AWFIT': 3}",0.9029
GA-WF_EASY_100_002.bpp,100,27,"{'FFIT': 6, 'BFIT': 3, 'WFIT': 1, 'AWFIT': 90}",0.8626
GA-WF_EASY_100_002.bpp,100,27,"{'FFIT': 0, 'BFIT': 0, 'WFIT': 4, 'AWFIT': 96}",0.8627
GA-WF_EASY_100_002.bpp,100,27,"{'FFIT': 82, 'BFIT': 1, 'WFIT': 9, 'AWFIT': 8}",0.8631
GA-FF_EASY_100_027.bpp,100,22,"{'FFIT': 90, 'BFIT': 0, 'WFIT': 2, 'AWFIT': 8}",0.9902
GA-FF_EASY_100_027.bpp,100,22,"{'FFIT': 86, 'BFIT': 2, 'WFIT': 9, 'AWFIT': 3}",0.9902
GA-FF_EASY_100_027.bpp,100,23,"{'FFIT': 3, 'BFIT': 93, 'WFIT': 2, 'AWFIT': 2}",0.9067
GA-FF_EASY_100_020.bpp,100,26,"{'FFIT': 60, 'BFIT': 4, 'WFIT': 35, 'AWFIT': 1}",0.9179
GA-FF_EASY_100_020.bpp,100,27,"{'FFIT': 5, 'BFIT': 3, 'WFIT': 92, 'AWFIT': 0}",0.8574
GA-FF_EASY_100_020.bpp,100,26,"{'FFIT': 2, 'BFIT': 81, 'WFIT': 16, 'AWFIT': 1}",0.915
GA-BF_EASY_100_082.bpp,100,25,"{'FFIT': 2, 'BFIT': 24, 'WFIT': 5, 'AWFIT': 69}",0.8334
GA-BF_EASY_100_082.bpp,100,25,"{'FFIT': 0, 'BFIT': 5, 'WFIT': 2, 'AWFIT': 93}",0.8329
GA-BF_EASY_100_082.bpp,100,24,"{'FFIT': 3, 'BFIT': 78, 'WFIT': 2, 'AWFIT': 17}",0.9076
GA-FF_EASY_100_080.bpp,100,21,"{'FFIT': 88, 'BFIT': 4, 'WFIT': 3, 'AWFIT': 5}",0.9911
GA-FF_EASY_100_080.bpp,100,23,"{'FFIT': 6, 'BFIT': 3, 'WFIT': 88, 'AWFIT': 3}",0.8295
GA-FF_EASY_100_080.bpp,100,21,"{'FFIT': 95, 'BFIT': 1, 'WFIT': 2, 'AWFIT': 2}",0.9911
GA-AWF_EASY_100_076.bpp,100,27,"{'FFIT': 4, 'BFIT': 94, 'WFIT': 1, 'AWFIT': 1}",0.855
GA-AWF_EASY_100_076.bpp,100,27,"{'FFIT': 7, 'BFIT': 5, 'WFIT': 2, 'AWFIT': 86}",0.8547
GA-AWF_EASY_100_076.bpp,100,27,"{'FFIT': 97, 'BFIT': 1, 'WFIT': 0, 'AWFIT': 2}",0.855
GA-WF_EASY_100_004.bpp,100,23,"{'FFIT': 5, 'BFIT': 1, 'WFIT': 94, 'AWFIT': 0}",0.9846
